p1_hp_pct,p1_alive,p2_hp_pct,p2_alive,p1_won
0.8242,5,0.9528,6,1
0.7126,5,0.8142,5,1
0.6893,4,0.7103,5,1
0.6314,4,0.6464,4,1
0.5713,4,0.4892,3,1
0.5368,3,0.3584,3,1
0.4877,3,0.3321,2,1
0.4311,3,0.1637,2,1
0.361,3,0.1637,2,1
0.2669,2,0.132,1,1
0.2669,2,0.0,0,1
0.9362,6,0.8786,5,1
0.8625,5,0.8043,5,1
0.794,5,0.6908,4,1
0.7318,5,0.5815,4,1
0.725,4,0.5332,3,1
0.5764,4,0.4179,3,1
0.5137,3,0.3635,2,1
0.334,2,0.3019,2,1
0.2919,2,0.1938,1,1
0.2919,2,0.0,0,1
0.9467,6,0.8161,5,1
0.8929,6,0.6626,5,1
0.8499,6,0.6477,4,1
0.8238,5,0.5787,4,1
0.7107,5,0.5226,4,1
0.6416,4,0.4665,4,1
0.4794,4,0.46,3,1
0.4655,3,0.3658,3,1
0.3941,3,0.2852,2,1
0.3166,3,0.2026,2,1
0.2978,2,0.1297,1,1
0.2978,2,0.0,0,1
1.0,6,0.913,6,1
0.8677,6,0.8125,5,1
0.8182,5,0.6443,4,1
0.7737,5,0.5077,4,1
0.7291,5,0.4981,3,1
0.6616,5,0.4362,3,1
0.6504,4,0.3531,3,1
0.5536,4,0.2848,2,1
0.4812,4,0.1598,2,1
0.4687,3,0.1424,1,1
0.3983,3,0.011,1,1
0.3983,3,0.0,0,1
0.901,6,1.0,6,0
0.8733,5,0.9712,6,0
0.7755,5,0.9109,6,0
0.7024,4,0.8505,6,0
0.6772,4,0.8167,5,0
0.6003,4,0.7353,5,0
0.5441,3,0.6788,5,0
0.4918,3,0.6611,4,0
0.3934,2,0.6041,4,0
0.203,2,0.5166,3,0
0.1898,1,0.4341,3,0
0.133,1,0.3815,3,0
0.0643,1,0.3444,2,0
0.0,0,0.3444,2,0
1.0,6,0.9242,6,0
0.9317,6,0.7901,5,0
0.8681,6,0.6864,5,0
0.8387,5,0.6152,4,0
0.739,5,0.5543,4,0
0.6627,4,0.5239,4,0
0.6091,4,0.4327,4,0
0.5556,4,0.4202,3,0
0.508,3,0.3704,3,0
0.3742,3,0.3061,3,0
0.3628,2,0.3001,2,0
0.168,2,0.16,1,0
0.1345,1,0.1376,1,0
0.0,0,0.1376,1,0
0.8644,5,0.9684,6,0
0.7239,5,0.8133,5,0
0.6957,4,0.6538,5,0
0.6258,4,0.6365,4,0
0.5049,3,0.4994,3,0
0.3571,2,0.4138,3,0
0.2166,1,0.3151,3,0
0.1706,1,0.3114,2,0
0.0675,1,0.1942,2,0
0.0,0,0.1942,2,0
0.8792,6,0.9213,6,1
0.8746,5,0.8486,5,1
0.8468,5,0.8486,5,1
0.8173,5,0.7861,5,1
0.7879,5,0.7236,5,1
0.7584,5,0.708,4,1
0.6775,4,0.6255,4,1
0.6139,4,0.535,3,1
0.5717,4,0.3351,2,1
0.5139,4,0.257,2,1
0.4757,3,0.1789,2,1
0.4503,3,0.1514,1,1
0.4503,3,0.0,0,1
0.8684,6,0.8308,5,0
0.8684,6,0.7774,5,0
0.6622,5,0.7774,5,0
0.611,4,0.7176,5,0
0.5217,4,0.7176,5,0
0.4459,3,0.6792,4,0
0.3067,2,0.6447,4,0
0.1769,1,0.5063,4,0
0.0946,1,0.4711,3,0
0.0147,1,0.4277,3,0
0.0,0,0.4277,3,0
0.9471,6,0.8955,6,1
0.8649,6,0.8492,5,1
0.7954,6,0.7384,5,1
0.7466,5,0.6921,5,1
0.6138,4,0.6678,4,1
0.5741,4,0.6028,4,1
0.5345,4,0.5379,4,1
0.4948,4,0.4751,3,1
0.4621,4,0.3893,3,1
0.4557,3,0.3164,2,1
0.4207,3,0.2395,2,1
0.3759,3,0.1701,1,1
0.3098,3,0.0734,1,1
0.3,2,0.0181,1,1
0.2029,2,0.0,0,1
0.9293,6,0.9094,6,1
0.8586,6,0.8189,6,1
0.8586,6,0.7025,6,1
0.858,5,0.6998,5,1
0.8342,5,0.595,4,1
0.7326,5,0.5302,4,1
0.7326,5,0.4846,4,1
0.7159,4,0.4528,4,1
0.6208,4,0.3919,4,1
0.5257,4,0.365,3,1
0.4904,3,0.292,3,1
0.4659,3,0.292,3,1
0.4396,3,0.2459,2,1
0.3451,3,0.1114,2,1
0.3162,2,0.1103,1,1
0.3162,2,0.0,0,1
0.9173,6,0.9297,6,1
0.8451,5,0.8595,6,1
0.801,5,0.8197,5,1
0.7558,5,0.7685,5,1
0.7106,5,0.7173,5,1
0.6902,4,0.6721,4,1
0.4564,4,0.6057,4,1
0.4537,3,0.5512,4,1
0.3727,3,0.5027,3,1
0.3429,3,0.3508,3,1
0.2988,3,0.3279,2,1
0.2988,3,0.195,2,1
0.2933,2,0.1748,1,1
0.2161,2,0.0169,1,1
0.1389,2,0.0,0,1
0.8682,6,0.9271,6,0
0.819,5,0.8542,6,0
0.648,5,0.8111,5,0
0.6244,4,0.7211,5,0
0.6244,4,0.6738,5,0
0.5684,4,0.6252,5,0
0.5124,4,0.5765,5,0
0.4565,4,0.5395,4,0
0.4434,3,0.4891,3,0
0.306,2,0.3548,2,0
0.2307,2,0.2922,2,0
0.1685,1,0.2533,2,0
0.0616,1,0.178,1,0
0.0,0,0.0437,1,0
0.9645,6,1.0,6,1
0.929,6,0.8877,6,1
0.8346,5,0.8727,5,1
0.744,4,0.7984,5,1
0.6109,4,0.7154,5,1
0.5925,3,0.6187,4,1
0.5729,3,0.4914,3,1
0.417,3,0.3525,2,1
0.3878,2,0.1907,1,1
0.3397,2,0.0945,1,1
0.3397,2,0.0,0,1
0.915,6,0.8696,6,1
0.8301,6,0.8564,5,1
0.7873,6,0.7122,5,1
0.7445,6,0.6888,4,1
0.7182,5,0.6413,4,1
0.6412,5,0.5801,4,1
0.5892,4,0.5154,4,1
0.5562,4,0.4811,3,1
0.5122,4,0.4148,3,1
0.4682,4,0.3484,3,1
0.4242,4,0.2918,2,1
0.4236,3,0.2426,2,1
0.4236,3,0.2197,2,1
0.3007,2,0.1848,2,1
0.2262,2,0.1379,2,1
0.1595,1,0.1264,1,1
0.1265,1,0.0675,1,1
0.0935,1,0.0086,1,1
0.0605,1,0.0,0,1
0.8614,5,0.9219,6,0
0.8292,5,0.8729,5,0
0.7582,5,0.5422,5,0
0.703,4,0.5348,4,0
0.6511,4,0.413,3,0
0.5276,3,0.3275,3,0
0.4704,3,0.2706,3,0
0.3995,3,0.2706,3,0
0.3325,3,0.2595,2,0
0.2976,2,0.2083,2,0
0.2332,2,0.163,2,0
0.1767,1,0.1324,1,0
0.0723,1,0.0733,1,0
0.0,0,0.0142,1,0
0.9492,6,0.945,6,1
0.8985,6,0.8901,6,1
0.8477,6,0.8351,6,1
0.8302,5,0.7902,5,1
0.8302,5,0.7674,5,1
0.738,5,0.6669,5,1
0.713,4,0.6247,4,1
0.6529,4,0.5784,4,1
0.5928,4,0.5322,4,1
0.5327,4,0.4859,4,1
0.4947,4,0.4859,4,1
0.4592,4,0.4765,3,1
0.4096,4,0.378,3,1
0.3804,3,0.3231,2,1
0.3734,2,0.2286,2,1
0.1698,2,0.1749,1,1
0.1231,1,0.0,0,1
0.81,5,0.8496,5,1
0.7723,5,0.6429,4,1
0.7042,5,0.5581,4,1
0.6361,4,0.4732,4,1
0.5761,4,0.4488,3,1
0.461,4,0.3489,3,1
0.4437,3,0.3171,2,1
0.315,3,0.1417,1,1
0.315,3,0.0,0,1
0.884,6,0.9682,6,1
0.8408,5,0.8971,6,1
0.7378,4,0.8691,6,1
0.6621,4,0.8317,6,1
0.5929,3,0.7999,5,1
0.4265,2,0.788,5,1
0.3573,2,0.596,5,1
0.312,2,0.5873,4,1
0.2666,2,0.4507,3,1
0.2269,2,0.3067,2,1
0.1952,1,0.169,1,1
0.1952,1,0.0,0,1
0.945,6,0.8785,6,1
0.8817,6,0.8132,5,1
0.8179,5,0.7533,5,1
0.6874,5,0.6826,5,1
0.6768,4,0.6252,4,1
0.654,4,0.4933,4,1
0.6311,4,0.4915,3,1
0.4889,3,0.4359,3,1
0.4093,3,0.2975,2,1
0.3841,3,0.1699,1,1
0.3167,3,0.0,0,1
0.8528,6,0.9417,6,1
0.8501,5,0.8835,6,1
0.7639,5,0.8835,6,1
0.6927,5,0.8733,5,1
0.6866,4,0.8117,5,1
0.6153,4,0.6131,5,1
0.5441,4,0.5573,4,1
0.5441,4,0.4966,4,1
0.5027,3,0.4359,4,1
0.4077,3,0.416,3,1
0.3406,2,0.315,3,1
0.1839,1,0.2689,2,1
0.0957,1,0.1646,2,1
0.0183,1,0.117,1,1
0.0183,1,0.0,0,1
0.9153,6,0.9183,6,1
0.8517,5,0.8501,5,1
0.7638,5,0.7497,5,1
0.6996,4,0.7117,4,1
0.5931,4,0.6628,4,1
0.5513,3,0.6345,4,1
0.4981,3,0.5676,4,1
0.4448,3,0.5309,3,1
0.4114,3,0.3887,2,1
0.3851,2,0.2999,2,1
0.3145,2,0.2349,2,1
0.2478,2,0.213,1,1
0.2009,1,0.1088,1,1
0.111,1,0.0187,1,1
0.0212,1,0.0,0,1
0.9789,6,0.8974,5,1
0.9396,6,0.7389,4,1
0.9002,6,0.6119,4,1
0.8808,6,0.566,3,1
0.8359,6,0.4311,3,1
0.8071,6,0.3859,2,1
0.7888,5,0.2016,1,1
0.6957,5,0.1392,1,1
0.6441,4,0.0552,1,1
0.4928,3,0.0,0,1
0.8784,6,0.9094,6,0
0.8784,6,0.8303,6,0
0.8507,6,0.7137,5,0
0.8354,5,0.6551,5,0
0.6968,5,0.6356,4,0
0.6301,4,0.532,4,0
0.5424,4,0.5005,4,0
0.4598,3,0.4886,3,0
0.2822,3,0.4507,3,0
0.25,2,0.4143,3,0
0.1363,1,0.3698,3,0
0.0436,1,0.3341,3,0
0.0,0,0.3341,3,0
0.8378,6,0.9398,6,1
0.8378,6,0.8643,6,1
0.829,5,0.7742,5,1
0.6939,5,0.6759,5,1
0.6522,4,0.6219,4,1
0.6298,4,0.473,3,1
0.5353,4,0.3061,2,1
0.4871,3,0.1392,1,1
0.4436,3,0.0007,1,1
0.4001,3,0.0,0,1
0.9095,6,0.8242,5,0
0.8196,5,0.621,4,0
0.6724,4,0.5054,4,0
0.4933,3,0.4702,4,0
0.468,3,0.4535,3,0
0.4154,3,0.348,3,0
0.3628,3,0.3111,2,0
0.2929,2,0.2169,2,0
0.2543,2,0.1436,1,0
0.1591,1,0.1073,1,0
0.0,0,0.1073,1,0
0.9399,6,0.8969,6,1
0.8881,5,0.8301,5,1
0.6626,5,0.7307,5,1
0.6425,4,0.6331,4,1
0.5668,4,0.5282,4,1
0.4911,4,0.5098,3,1
0.4527,3,0.4117,3,1
0.382,3,0.3374,2,1
0.3346,3,0.1693,2,1
0.2873,3,0.165,1,1
0.2684,2,0.1172,1,1
0.1453,1,0.1172,1,1
0.0228,1,0.0442,1,1
0.0228,1,0.0,0,1
0.8574,5,0.9706,6,1
0.7019,4,0.9361,6,1
0.6181,4,0.9017,6,1
0.5529,3,0.8691,6,1
0.5335,3,0.8142,5,1
0.4548,3,0.7267,5,1
0.3761,3,0.6392,5,1
0.3755,2,0.6028,4,1
0.34,2,0.5511,4,1
0.3045,2,0.4994,4,1
0.269,2,0.4476,4,1
0.229,2,0.4361,3,1
0.189,2,0.3078,2,1
0.1813,1,0.2478,2,1
0.1103,1,0.1711,2,1
0.0394,1,0.1347,1,1
0.0394,1,0.0,0,1
0.8915,6,0.8725,6,0
0.8407,5,0.8626,5,0
0.7005,4,0.7643,5,0
0.5508,4,0.6692,4,0
0.5286,3,0.528,3,0
0.3693,2,0.4919,3,0
0.2037,1,0.4527,3,0
0.0635,1,0.347,2,0
0.0013,1,0.2127,2,0
0.0,0,0.1909,1,0
0.9152,6,0.8468,5,0
0.8674,6,0.7911,5,0
0.8563,5,0.7353,5,0
0.7694,5,0.6725,5,0
0.6824,5,0.6467,4,0
0.605,5,0.5575,4,0
0.5801,4,0.4888,3,0
0.5801,4,0.4888,3,0
0.5117,4,0.429,3,0
0.4433,4,0.3691,3,0
0.4417,3,0.3404,3,0
0.3134,3,0.3357,2,0
0.2609,2,0.2347,2,0
0.1734,2,0.1825,1,0
0.149,1,0.142,1,0
0.0976,1,0.108,1,0
0.0461,1,0.0739,1,0
0.0,0,0.0739,1,0
0.8738,6,0.9463,6,0
0.8276,5,0.8925,6,0
0.7081,4,0.8545,6,0
0.5654,4,0.8303,5,0
0.5357,3,0.7005,5,0
0.4802,3,0.6969,4,0
0.4802,3,0.6546,4,0
0.4082,3,0.5972,4,0
0.3897,2,0.5694,3,0
0.286,2,0.4601,3,0
0.286,2,0.4287,3,0
0.286,2,0.3798,3,0
0.2384,1,0.3502,2,0
0.1585,1,0.2959,2,0
0.1585,1,0.1751,2,0
0.076,1,0.1141,1,0
0.0,0,0.0598,1,0
0.9578,6,0.8275,5,0
0.8333,6,0.7135,5,0
0.8272,5,0.6982,4,0
0.7139,5,0.6211,4,0
0.6411,4,0.5439,4,0
0.5483,4,0.5105,4,0
0.5483,4,0.5047,4,0
0.5017,3,0.4351,4,0
0.3511,2,0.4105,4,0
0.2206,2,0.3918,4,0
0.145,1,0.3579,3,0
0.0178,1,0.352,2,0
0.0,0,0.245,2,0
0.8658,5,0.9198,6,1
0.7055,5,0.7996,6,1
0.6807,4,0.7729,5,1
0.6406,4,0.626,4,1
0.493,4,0.5426,4,1
0.4892,3,0.4593,4,1
0.4294,3,0.4536,3,1
0.4008,3,0.3066,2,1
0.3893,3,0.1533,1,1
0.3206,3,0.0967,1,1
0.3104,2,0.0706,1,1
0.2309,2,0.0,0,1
0.9094,6,0.9068,6,1
0.8657,6,0.8893,5,1
0.8657,6,0.8196,5,1
0.822,6,0.7535,4,1
0.8168,5,0.6789,4,1
0.7823,5,0.6177,3,1
0.7132,5,0.4013,3,1
0.6297,4,0.2966,2,1
0.4654,4,0.1969,2,1
0.4205,3,0.1508,1,1
0.3103,3,0.0902,1,1
0.2894,2,0.0125,1,1
0.2894,2,0.0,0,1
0.9442,6,0.8914,5,1
0.8737,6,0.805,5,1
0.8408,5,0.7186,5,1
0.8408,5,0.5675,5,1
0.6816,4,0.5628,4,1
0.6075,4,0.5526,3,1
0.5059,3,0.4717,3,1
0.4283,3,0.3752,3,1
0.3872,3,0.3495,2,1
0.3467,2,0.1626,1,1
